isim,lat,lon
Lou Cafe Bistro,39.8825149,32.6860011
Tahtakale Kahvecisi,39.9329546,32.8665571
Starbucks,39.874167,32.6494969
T chibo,39.8826449,32.6851245
Arabica,39.8708538,32.6875237
Selinin Yeri,39.9334876,32.6486718
Cafe Bistro,39.9382661,32.639846
Almina Cafe,39.9464096,32.641981
Kahvaltilar,39.8780432,32.8754815
Kahve Sokağı,40.0362213,32.9012246
Padam Coffee Shop,39.9026958,32.8596101
Kakule Kahve,39.9148879,32.85798
Butik's,39.842663,32.5452097
Cakes & Bakes,40.1159309,32.9938956
Tea Co,39.8801055,32.6878835
Kare Çarşı,39.9327474,32.8218752
Koala Café,39.9067845,32.8618714
f451,39.909278,32.8608238
Aşiyan Pastanesi,39.9313559,32.8767831
Oranlı Cafe,39.9315748,32.8757719
Oranlı Cafe,39.9333883,32.8789406
Yemekhane,39.9356644,32.8297027
Baklavacı Karagöz,39.9222493,32.8572342
Seyir Çay Evi,39.9223059,32.8575164
Kahveci Ezgizade,39.9220791,32.8568745
Starbucks,39.9899219,32.6430773
Kahve Dünyası,39.9898162,32.6432066
Cafe Point,39.7815183,32.820167
Matbaa,39.9304888,32.8561671
C'viz,39.9026668,32.8602697
Sema Çay Salonu,39.8813019,32.8728896
Simit Sarayı,39.9193581,32.855045
ÇaySimit,39.9194876,32.8557091
Alaros,39.919495,32.8557685
Hüdaverdi,39.90063,32.8052714
Sahra,39.9008736,32.8039242
Berins Kafe,39.8802059,32.6873523
Simit Sarayı,39.9228984,32.8552328
Little Green,39.9222417,32.8289041
Fameo Caffè,39.8835214,32.7571167
Doğuş Simit Cafe,39.9668721,32.8736203
Amelie's Garden Succulent & Cofee,39.900313,32.8575571
Grano Coffee & Sandwiches,39.9174123,32.8166286
Coffee Project,39.917353,32.8175164
Deniz Çay Salonu,39.5377261,32.6091764
Liman Kitap Kafe,39.9093775,32.8104251
Emirgan çayevi,39.9256779,32.8474906
Seval Pastanesi,39.9407999,32.9001252
Starbucks,39.8951556,32.7037825
Newcastle,39.895703,32.7041258
OT,39.8955775,32.7040453
Arabica,39.8847553,32.8529419
Çınar Saklıbahçe,39.9319166,32.8663838
Eylül Kafe,39.9195015,32.8558327
Vengo Kafe,39.9191019,32.8585336
Ayaküstü Kahve,39.9109197,32.8202541
CoffeeLab,39.9232981,32.8554392
Pheru Coffee,39.9167734,32.8192591
Kronotrop,39.9118366,32.8564128
Gupse Fırın & Cafe,39.9271356,32.8189065
Starbucks,39.9229858,32.8554666
Arabica Coffee House,39.8818626,32.6858823
Rüyam,39.9151753,32.8623872
Elfida Kahvecim,39.975392,32.9722526
Coffee Lab,39.9181992,32.8572978
İrene Kültür Evi,39.918044,32.859107
Arabica,39.9164708,32.8581259
Quito Coffee,39.9161221,32.8582641
Black Fish Cafe,39.9167449,32.8587422
Simit Kafe,39.918887,32.858659
Kitapça,39.9189893,32.858598
Boğaziçi Pastanesi,39.9182644,32.8584615
Olgunlar Simitçisi,39.9149485,32.8579234
Tarihi Sariyer Börek & Simıt Cafe,39.9111024,32.8603294
Küçük Cafe,39.958786,32.8353121
Kahve Dünyası,39.9696526,32.8230768
Starbucks,39.9696255,32.8224329
Coffee&Study,39.783799,32.81072
Çengel Cafe,39.7838775,32.8100256
Kocatepe Cafe,39.7869172,32.8071307
kafein cafe,39.7874173,32.8065156
Emek Ankara,39.9048724,32.852698
Yemekhane,39.7797135,32.8175862
Kocatepe Cafe,39.7890775,32.8094296
Come.pany Coffee,39.8582464,32.6525717
